h,s,v,label,metal
5, 21, 135, 0, aluminum
177, 15, 154, 0, aluminum
0, 19, 136, 0, aluminum
0, 18, 127, 0, aluminum
3, 20, 137, 0, aluminum
133, 15, 122, 0, aluminum
173, 17, 195, 0, aluminum
172, 17, 163, 0, aluminum
146, 14, 151, 0, aluminum
135, 19, 108, 0, aluminum
145, 10, 147, 0, aluminum
159, 14, 179, 0, aluminum
178, 17, 184, 0, aluminum
165, 14, 145, 0, aluminum
143, 14, 166, 0, aluminum
146, 14, 151, 0, aluminum
173, 17, 195, 0, aluminum
175, 17, 195, 0, aluminum
5, 17, 185, 0, aluminum
140, 16, 140, 0, aluminum
150, 12, 147, 0, aluminum
133, 15, 122, 0, aluminum
3, 22, 138, 0, aluminum
174, 16, 162, 0, aluminum
3, 20, 137, 0, aluminum
177, 19, 121, 0, aluminum
0, 18, 127, 0, aluminum
0, 19, 136, 0, aluminum
177, 15, 154, 0, aluminum
176, 15, 137, 0, aluminum
12, 9, 143, 0, aluminum
9, 12, 145, 0, aluminum
135, 3, 157, 0, aluminum
4, 13, 140, 0, aluminum
6, 14, 185, 0, aluminum
177, 14, 194, 0, aluminum
130, 16, 96, 0, aluminum
176, 15, 116, 0, aluminum
130, 12, 124, 0, aluminum
173, 19, 124, 0, aluminum
170, 13, 172, 0, aluminum
0, 13, 178, 0, aluminum
0, 13, 157, 0, aluminum
6, 73, 132, 1, copper
8, 64, 187, 1, copper
9, 77, 165, 1, copper
8, 98, 128, 1, copper
8, 97, 118, 1, copper
6, 72, 131, 1, copper
3, 68, 136, 1, copper
6, 63, 153, 1, copper
0, 62, 98, 1, copper
7, 69, 178, 1, copper
6, 67, 187, 1, copper
5, 68, 149, 1, copper
6, 72, 131, 1, copper
4, 67, 134, 1, copper
4, 68, 131, 1, copper
3, 59, 139, 1, copper
8, 97, 118, 1, copper
8, 98, 128, 1, copper
9, 62, 143, 1, copper
8, 74, 149, 1, copper
7, 72, 127, 1, copper
8, 67, 171, 1, copper
8, 72, 152, 1, copper
10, 61, 191, 1, copper
7, 74, 137, 1, copper
6, 57, 166, 1, copper
10, 114, 141, 1, copper
9, 48, 201, 1, copper
11, 113, 120, 1, copper
10, 102, 112, 1, copper
8, 75, 169, 1, copper
8, 75, 160, 1, copper
9, 119, 133, 1, copper
9, 118, 123, 1, copper
18, 82, 146, 2, messing
16, 80, 168, 2, messing
14, 47, 172, 2, messing
15, 53, 159, 2, messing
15, 62, 151, 2, messing
15, 60, 148, 2, messing
17, 65, 173, 2, messing
15, 60, 140, 2, messing
14, 61, 109, 2, messing
18, 66, 151, 2, messing
19, 61, 166, 2, messing
18, 66, 154, 2, messing
17, 68, 136, 2, messing
21, 82, 193, 2, messing
19, 73, 151, 2, messing
16, 43, 174, 2, messing
18, 69, 184, 2, messing
